id,name,area,city,subarea,address,latitude,longitude,coordinate_type,style_auto,style_free,style_cottage,style_glamping,location_sea,location_lake,location_river,location_forest,location_highland,facility_onsen,facility_shower,facility_power,facility_toilet,facility_garbage,facility_pet,facility_wifi,description,price_from,official_url,source_url,data_note,image
D001,札幌市定山渓自然の村,道央,札幌市,定山渓,北海道札幌市定山渓,43.0618,141.3545,municipality_approx,,,1,,,,,1,,,,,,,,,,,,https://www.sapporo-satoyama.jp/,座標は市町村中心付近のデモ用概算。施設位置ではありません。未確認の設備項目は空欄。,/images/camp-01.jpg
D002,オートリゾート滝野,道央,札幌市,南区,北海道札幌市滝野247,43.0618,141.3545,municipality_approx,1,1,,,,,,1,,,,,,,,,,,,https://www.takinopark.com/,座標は市町村中心付近のデモ用概算。施設位置ではありません。未確認の設備項目は空欄。,/images/camp-02.jpg
D003,札幌野営場 by 焚火人,道央,札幌市,中央区,北海道札幌市宮の森,43.0618,141.3545,municipality_approx,1,,,,,,,1,,,,,,,,,,,,https://tomo-campers.jp/campsite/,座標は市町村中心付近のデモ用概算。施設位置ではありません。未確認の設備項目は空欄。,/images/camp-03.jpg
D004,Redoor Sapporo,道央,札幌市,中央区,北海道札幌市盤渓,43.0618,141.3545,municipality_approx,,,,,,,,1,,,,,,,,,,,,https://tomo-campers.jp/campsite/,座標は市町村中心付近のデモ用概算。施設位置ではありません。未確認の設備項目は空欄。,/images/camp-04.jpg
D005,札幌手稲キャンプリゾート ホリッパ,道央,札幌市,手稲区,北海道札幌市手稲前田,43.0618,141.3545,municipality_approx,1,,,,,,,1,,,,,,,,,,,,https://campet.net/hokkaido/douou,座標は市町村中心付近のデモ用概算。施設位置ではありません。未確認の設備項目は空欄。,/images/camp-05.jpg
D006,八剣山ワイナリー焚き火キャンプ場,道央,札幌市,南区,北海道札幌市砥山,43.0618,141.3545,municipality_approx,1,,,,,,,1,,,,,,,,,,,,https://tomo-campers.jp/campsite/,座標は市町村中心付近のデモ用概算。施設位置ではありません。未確認の設備項目は空欄。,/images/camp-06.jpg
D007,紅櫻アウトドアガーデン,道央,札幌市,南区,北海道札幌市澄川,43.0618,141.3545,municipality_approx,1,,,,,,,,,,,,,,,,,,,https://tomo-campers.jp/campsite/,座標は市町村中心付近のデモ用概算。施設位置ではありません。未確認の設備項目は空欄。,/images/camp-01.jpg
D008,美笛キャンプ場,道央,千歳市,支笏湖,北海道千歳市美笛,42.819,141.65,municipality_approx,,,,,,1,,1,,,,,,,,,,,,https://campet.net/hokkaido/douou,座標は市町村中心付近のデモ用概算。施設位置ではありません。未確認の設備項目は空欄。,/images/camp-02.jpg
D009,休暇村支笏湖モラップキャンプ場,道央,千歳市,支笏湖,北海道千歳市モラップ,42.819,141.65,municipality_approx,,,,,,1,,,,,,,,,,,,,,https://campet.net/hokkaido/douou,座標は市町村中心付近のデモ用概算。施設位置ではありません。未確認の設備項目は空欄。,/images/camp-03.jpg
D010,植苗キャンプ場,道央,苫小牧市,植苗,北海道苫小牧市植苗,42.634,141.605,municipality_approx,,,,,,,,1,,,,,,,,,,,,https://campet.net/hokkaido/douou,座標は市町村中心付近のデモ用概算。施設位置ではありません。未確認の設備項目は空欄。,/images/camp-04.jpg
